Date, Close/Last, Volume, Open, High, Low
12/27/2016,$162.05,1298932,$162.06,$162.76,$161.80
12/23/2016,$162.08,1254165,$162.17,$162.67,$161.53
12/22/2016,$162.07,1965908,$163.66,$163.67,$161.92
12/21/2016,$163.04,1309817,$163.60,$164.03,$163.02
12/20/2016,$163.86,2204593,$164.32,$164.95,$163.50
12/19/2016,$163.46,3230617,$162.01,$164.53,$161.65
12/16/2016,$160.41,3767075,$160.49,$161.25,$159.85
12/15/2016,$160.11,1811057,$159.35,$161.50,$159.07
12/14/2016,$158.99,2118585,$160.05,$160.45,$158.25
12/13/2016,$159.77,3550650,$160.85,$162.04,$159.14
12/12/2016,$160.33,2299063,$158.60,$161.28,$158.56
12/09/2016,$159.70,2615084,$157.28,$159.83,$157.26
12/08/2016,$157.59,5501762,$156.64,$160.90,$156.60
12/07/2016,$153.85,2777815,$150.60,$153.91,$150.48
12/06/2016,$151.01,2243310,$151.85,$152.08,$150.42
12/05/2016,$151.77,2432054,$152.09,$152.23,$150.78
12/02/2016,$152.09,1829242,$151.99,$152.87,$151.43
12/01/2016,$151.74,2305419,$150.11,$152.88,$150.11
11/30/2016,$150.11,2730654,$151.13,$151.54,$150.07
11/29/2016,$151.48,1496875,$151.62,$152.22,$151.33
11/28/2016,$151.25,1731124,$151.05,$152.43,$151.01
11/25/2016,$151.88,886780,$151.89,$153.42,$151.71
11/23/2016,$151.60,2166943,$152.75,$153.34,$151.18
11/22/2016,$152.67,1954435,$151.93,$153.05,$151.21
11/21/2016,$151.17,1181699,$150.55,$151.29,$150.12
11/18/2016,$150.36,2019924,$150.84,$151.20,$149.52
11/17/2016,$151.20,2098654,$151.23,$151.40,$149.55
11/16/2016,$152.14,2152223,$152.19,$152.55,$151.80
11/15/2016,$151.15,2799834,$151.98,$152,$150.29
11/14/2016,$152,3891065,$150.92,$152.14,$149.50
11/11/2016,$149.36,3218427,$146.61,$149.62,$145.38
11/10/2016,$146.70,3944204,$147.06,$150,$146.61
11/09/2016,$146.79,3170162,$143.54,$147.39,$143.54
11/08/2016,$146.09,3505482,$143.89,$146.63,$143.80
11/07/2016,$143.54,3009927,$143.38,$143.66,$142.75
11/04/2016,$142.24,2700989,$143,$145,$142.11
11/03/2016,$144.45,2167335,$146.70,$146.70,$144.14
11/02/2016,$146.27,2259810,$146.43,$147.34,$146.12
11/01/2016,$146.66,2111999,$148.48,$148.63,$146.38
10/31/2016,$147.87,3239390,$148.89,$149.35,$147.10
10/28/2016,$149.76,1843729,$150.44,$150.86,$149.38
10/27/2016,$150.86,1992660,$150.83,$151.46,$149.82
10/26/2016,$150.98,2246065,$150.35,$151.41,$150.28
10/25/2016,$150.99,2058252,$149.90,$151.97,$149.90
10/24/2016,$152.12,2425346,$149.35,$152.32,$149.29
10/21/2016,$148.97,2186017,$149.51,$150.29,$148.50
10/20/2016,$150.04,2251650,$149.85,$150.78,$149.60
10/19/2016,$149.45,1812663,$150.70,$151.32,$149.31
10/18/2016,$149.11,1847721,$149.51,$149.62,$148.41
10/17/2016,$148.70,1988009,$150.08,$150.20,$148.63
10/14/2016,$150.15,1744208,$150.18,$151,$149.28
10/13/2016,$150.22,1795240,$149.93,$151.34,$149.72
10/12/2016,$150.46,1664396,$150.97,$151.49,$150.39
10/11/2016,$151.01,2596463,$149.67,$151.14,$149.52
10/10/2016,$150.28,1576808,$150.35,$150.85,$149.75
10/07/2016,$149.99,2282133,$149.77,$150.19,$148.79
10/06/2016,$149.47,2465561,$150.23,$150.64,$149
10/05/2016,$149.98,2377662,$150.63,$150.92,$149.83
10/04/2016,$150.48,2840413,$151.47,$151.62,$149.49
10/03/2016,$151.01,3197183,$152.22,$152.25,$150.32
09/30/2016,$152.51,7230091,$151.79,$154.85,$151.60
09/29/2016,$147.49,4470583,$149.19,$149.69,$147.20
09/28/2016,$149.41,2625531,$150.60,$150.67,$148.94
09/27/2016,$150.45,2564367,$151.42,$151.77,$150
09/26/2016,$151.19,1862192,$152.08,$152.28,$151.01
09/23/2016,$152.53,2281912,$153.15,$153.77,$152.17
09/22/2016,$153.15,2501190,$153.03,$154.28,$152.68
09/21/2016,$152.70,1534524,$152.59,$152.90,$151.25
09/20/2016,$152.17,1396737,$152.43,$152.71,$151.67
09/19/2016,$151.79,1321279,$152.13,$153.03,$151.60
09/16/2016,$152.35,2841662,$151.96,$152.66,$151.14
09/15/2016,$152.67,2304741,$150.72,$152.97,$150.11
09/14/2016,$150.69,2217820,$150.71,$152.25,$150.20
09/13/2016,$150.74,2148436,$151.18,$151.58,$150.07
09/12/2016,$151.69,2982237,$150.50,$151.99,$150.26
09/09/2016,$150.70,2992010,$152.59,$152.79,$150.70
09/08/2016,$153.47,2992834,$155.19,$155.49,$152.94
